table_name,variable_name,enumeration_code,enumeration_display,enumeration_title,enumeration_meaning,enumeration_system,enumeration_group
File,data_type,edam:data_1748,Identifier (a string) of a specific atom from a PDB file for a molecular structure.,PDB atom name,edam:data_1748,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1755,Data on a single atom from a protein structure.,Protein atom,edam:data_1755,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1756,Data on a single amino acid residue position in a protein structure.,Protein residue,edam:data_1756,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1757,Name of an atom.,Atom name,edam:data_1757,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1758,Three-letter amino acid residue names as used in PDB files.,PDB residue name,edam:data_1758,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1759,Identifier of a model structure from a PDB file.,PDB model number,edam:data_1759,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1771,Information on an molecular sequence version.,Sequence version,edam:data_1771,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1772,"A numerical value, that is some type of scored value arising for example from a prediction method.",Score,edam:data_1772,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1794,Identifier of a gene from PlasmoDB Plasmodium Genome Resource.,Gene ID (PlasmoDB),edam:data_1794,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1795,Identifier of a gene from EcoGene Database.,Gene ID (EcoGene),edam:data_1795,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1796,Gene identifier from FlyBase database.,Gene ID (FlyBase),edam:data_1796,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1802,Gene identifier from Gramene database.,Gene ID (Gramene),edam:data_1802,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1803,Gene identifier from Virginia Bioinformatics Institute microbial database.,Gene ID (Virginia microbial),edam:data_1803,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1804,Gene identifier from Sol Genomics Network.,Gene ID (SGN),edam:data_1804,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1805,Gene identifier used by WormBase database.,Gene ID (WormBase),edam:data_1805,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1807,The name of an open reading frame attributed by a sequencing project.,ORF name,edam:data_1807,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1855,An identifier of a clone (cloned molecular sequence) from a database.,Clone ID,edam:data_1855,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1856,An insertion code (part of the residue number) for an amino acid residue from a PDB file.,PDB insertion code,edam:data_1856,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1857,The fraction of an atom type present at a site in a molecular structure.,Atomic occupancy,edam:data_1857,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1858,Isotropic B factor (atomic displacement parameter) for an atom from a PDB file.,Isotropic B factor,edam:data_1858,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1859,A cytogenetic map showing chromosome banding patterns in mutant cell lines relative to the wild type.,Deletion map,edam:data_1859,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1860,A genetic map which shows the approximate location of quantitative trait loci (QTL) between two or more markers.,QTL map,edam:data_1860,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1863,"A map of haplotypes in a genome or other sequence, describing common patterns of genetic variation.",Haplotype map,edam:data_1863,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1867,The name of a protein fold.,Protein fold name,edam:data_1867,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
